,x,,,
157,Trump awards Tiger Woods highest civilian award - ,,,
158,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
159,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
160,Mnuchin refuses to release Trump's tax returns to Congress..#Trump..#GOP,,,
161,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
162,@jax_superdave @ReMKZed @GeoffRBennett Just like a #Delusional #Liar #Impeach #Trump,,,
163,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
164,RT @FreeSpeechToons: #Trump vs the #FreePress by @AnnTelnaes ,,,
165,"Well, so do we! #trump #russia #putinspuppet #gop ",,,
166,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
167,"Can you recommend anyone for this job in Las Vegas, NV? ",,,
168,"RT @Tombx7M: @CNN Absolutely priceless
#Cnn #Trump #TheFive #MAGA #KAG ",,,
169,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
170,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
171,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
172,"RT @thetonyclifton1: Yes... how many weeks or months before #Mueller knew #Trump was innocent and setup? 

 #HANNITY",,,
173,Too bad #TigerWoods never taught #Trump not to cheat at golf and everything else in life. #MedalofFreedom ,,,
174,"RT @dAtS_bUlLsHiT: dAtS_nO_bUlLsHiT !!

#Q #QAnon #USA #Patriot #Trump #MAGA #GreatAwakening
@Potus @realDonaldTrump ",,,
175,"RT @RepDeSaulnier: Nobody is above the law. If President #Trump committed obstruction, he should face the consequences. ",,,
176,,,,
177,"#Trump's already using his ""bonus time"" by not already being in prison for the many crimes he's committed!  
",,,
178,"Yes... how many weeks or months before #Mueller knew #Trump was innocent and setup? 

 #HANNITY",,,
179,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
180,It's Ok to be any race. #BlackLivesMatter #Feminism #CNN #Trump #Islam #HillaryClinton #BernieSanders #ItsOkToBeWhite #AllLivesMatter,,,
181,"RT @cb27words: @kevinmcdermott @DLoesch @NRA Tell that to these people....
",,,
182,"New York attorney general sues Trump Treasury, IRS ",,,
183,"RT @DCReportMedia: Republican Senators want nothing to do with ""Trumpcare."" The head-cheese stands alone... ",,,
184,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
185,"RT @Minnie_Kinn: As air pollution increases in US cities, the #Trump administration is weakening clean air regulations. #EPA ",,,
